GVKEY,EXECID,EXEC_FULLNAME,CEOANN,CO_PER_ROL,CONAME,Company Has CEO?,TITLEANN,TDC1,BONUS,STOCK_AWARDS,OPTION_AWARDS,NONEQ_INCENT,PENSION_CHG,OTHCOMP,TOTAL_SEC,TOTAL_CURR,TOTAL_ALT1,TOTAL_ALT2,TERM_PYMT,CHG_CTRL_PYMT,SHROWN_TOT,SHROWN_TOT_PCT,SHROWN_EXCL_OPTS,SHROWN_EXCL_OPTS_PCT,OPT_EXER_NUM,OPT_EXER_VAL,SHRS_VEST_NUM,SHRS_VEST_VAL,AGE,OPTION_AWARDS_NUM,OPTION_AWARDS_FV,STOCK_AWARDS_FV,OPT_UNEX_EXER_NUM,OPT_UNEX_UNEXER_NUM,OPT_UNEX_EXER_EST_VAL,OPT_UNEX_UNEXER_EST_VAL,STOCK_UNVEST_NUM,STOCK_UNVEST_VAL,EIP_UNEARN_NUM,EIP_UNEARN_VAL,PENSION_VALUE_TOT,PENSION_PYMTS_TOT,DEFER_CONTRIB_EXEC_TOT,DEFER_CONTRIB_CO_TOT,DEFER_EARNINGS_TOT,DEFER_WITHDR_TOT,DEFER_BALANCE_TOT,DEFER_RPT_AS_COMP_TOT,EXECRANKANN,OTHANN,,TDC2,RSTKGRNT,OPTION_AWARDS_BLK_VALUE,OPTION_AWARDS_RPT_VALUE,LTIP,ALLOTHTOT,ALLOTHPD,SAL_PCT,TOTAL_CURR_PCT,TOTAL_SEC_PCT,TOTAL_ALT1_PCT,TOTAL_ALT2_PCT,TDC1_PCT,TDC2_PCT,RET_YRS,COMMENT,PCEO,REASON,EXEC_LNAME,EXEC_FNAME,EXEC_MNAME,GENDER,SICDESC,NAICSDESC,INDDESC,SPCODE,TICKER,NAICS,SPINDEX,SIC,,,
1045,46191,William Douglas Parker,CEO,49256,AMERICAN AIRLINES GROUP INC,Yes,Chairman and Chief Executive Officer,12301.976,0,7000,0,4200,0,414.092,12301.976,687.884,12301.976,17955.191,32998.743,72215.197,1661.386,0.24,1661.386,0.24,505.375,6673.552,171.957,5979.663,52,0,0,7000,2198.915,98.249,97880.072,4520.436,582.848,31258.138,410.111,21994.253,0,0,0,0,0,0,0,0,1,,,18730.72,,,,,,,1577.057,1577.057,-32.006,-32.006,1012.197,-32.006,126.221,,,,,Kerr,Derek,J.,MALE,"AIR TRANSPORT, SCHEDULED",Scheduled Passenger Air Transportation,Airlines,SP,AAL,481111,2030,4512,,,1045
1072,23168,John S. Gilbertson,CEO,23604,AVX CORP,Yes,"Chairman, Chief Executive Officer and Member of Executive Committee",3963.92,1153.616,0,274.77,1436.334,0,132.043,3963.92,2120.773,3963.92,3975.403,0,0,46.514,0.028,46.514,0.028,100,286.253,0,0,72,100,274.77,0,900,0,1370,0,0,0,0,0,0,0,108.995,44.12,193.779,0,3396.785,0,1,,,17798.722,,,,,,,1484.557,1484.557,-32.199,-32.199,894.575,-32.199,112.294,,,,,Johnson,Stephen,L.,MALE,"AIR TRANSPORT, SCHEDULED",Scheduled Passenger Air Transportation,Airlines,SP,AAL,481111,2030,4512,,,1072
1075,5835,Donald E. Brandt,CEO,27518,PINNACLE WEST CAPITAL CORP,Yes,"Chairman, Chief Executive Officer, President, Chairman of Arizona Public Service Company, Chief Executive Officer of Arizona Public Service Company and President of Arizona Public Service Company",7376.177,0,4199.976,0,1852.56,2009.011,26.729,9328.276,1240,9328.276,10403.293,2515.652,35541.68,188.56,0.17,163.071,0.147,0,0,93.745,5274.993,59,0,0,4199.976,0,0,0,0,167.118,11415.832,219.568,14998.691,8026.77,0,0,0,101.401,0,2747.169,56.912,1,,,18975.528,,,,,,,1525.896,1525.896,-30.344,-30.344,699.48,-30.344,7.442,,,CEO,,Parker,William,Douglas,MALE,"AIR TRANSPORT, SCHEDULED",Scheduled Passenger Air Transportation,Airlines,SP,AAL,481111,2030,4512,,,1075
1076,42388,Ronald W. Allen,CEO,45024,AARON'S INC,Yes,Chief Executive Officer and Director,5811.834,0,1593.737,519.908,0,0,3131.522,5811.834,566.667,5811.834,8865.19,0,0,132.494,0.183,132.494,0.183,5.25,63.18,199.368,5103.821,72,54.099,519.908,1593.737,3,0,31.95,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,25569.746,,,,,,,1398.815,1398.815,-33.905,-33.905,1011.299,-33.905,92.492,,,,,Kirby,J.,Scott,MALE,"AIR TRANSPORT, SCHEDULED",Scheduled Passenger Air Transportation,Airlines,SP,AAL,481111,2030,4512,,,1076
1078,14300,Miles D. White,CEO,13896,ABBOTT LABORATORIES,Yes,"Chairman, Chief Executive Officer and Chairman of Executive Committee",16179.509,0,4649.999,4649.997,3800,1552.732,1106.436,17732.241,1973.077,17732.241,25145.5,864.421,11636.207,1514.972,0.102,1514.972,0.102,440.8,8926.392,195.699,7786.863,59,727.699,4649.997,4649.999,2961.034,1481.865,56332.001,12692.643,0,0,314.732,14169.234,36287.614,1850.462,0,0,0,0,0,0,1,,,23320.761,,,,,,,1463.089,1463.089,-34.609,-34.609,1105.337,-34.609,143.154,,,,,"Isom, Jr.",Robert,D.,MALE,"AIR TRANSPORT, SCHEDULED",Scheduled Passenger Air Transportation,Airlines,SP,AAL,481111,2030,4512,,,1078
1094,23902,Salvatore J. Guccione,CEO,49265,ACETO CORP,Yes,"Chief Executive Officer, President and Director",2166.731,0,959.927,0,554.33,0,88.724,2166.731,563.75,2166.731,1446.744,1127.5,1964.466,110.233,0.38,110.233,0.38,0,0,15.001,239.94,51,0,0,959.927,50.334,25.166,614.052,307.013,102.23,1854.452,0,0,0,0,20.217,46.219,0,0,111.412,0,1,,,3975.403,,,,,,,7.466,119.887,79.538,79.538,99.499,79.538,99.499,,,CEO,,Gilbertson,John,S.,MALE,"ELECTRONIC COMP, ACCESSORIES","Electronic Coil, Transformer, and Other Inductor M",Electronic Components,EX,AVX,334416,4520,3670,,,1094
1161,42390,Rory P. Read,CEO,45026,ADVANCED MICRO DEVICES,Yes,Advisor,7729.545,0,5073.165,1617.085,0,0,39.293,7729.545,1000.002,7729.545,2969.715,7173.26,0,5030.78,0.646,745.075,0.096,0,0,465.068,1930.42,52,1091.921,1617.085,5073.165,2916.205,1624.482,0,0,757.828,2008.244,2149.096,5695.104,0,0,0,0,0,0,0,0,1,,,792.694,,,,,,,4.998,4.894,39.363,39.363,48.67,39.363,48.67,,,,,Thomas,Keith,,MALE,"ELECTRONIC COMP, ACCESSORIES","Electronic Coil, Transformer, and Other Inductor M",Electronic Components,EX,AVX,334416,4520,3670,,,1161
1177,31029,Mark T. Bertolini,CEO,32394,AETNA INC,Yes,"Chairman, Chief Executive Officer, Chairman of Executive Committee, Member of Investment & Finance Committee and Member of Investment & Finance Committee",15043.936,0,5070.05,6908.918,1680,23.386,388.799,15067.322,996.169,15067.322,15037.105,64004.456,75924.822,1989.208,0.571,729.194,0.209,0,0,178.18,11948.751,57,304.626,6908.918,5070.05,1158.472,304.626,52777.995,5047.653,427.313,37958.214,233.034,20700.41,369.888,0,0,0,5.16,356.245,235.285,0,1,,,1394.641,,,,,,,4.499,4.493,34.754,34.754,137.537,34.754,137.537,,,,,Venuto,Peter,,MALE,"ELECTRONIC COMP, ACCESSORIES","Electronic Coil, Transformer, and Other Inductor M",Electronic Components,EX,AVX,334416,4520,3670,,,1177
1209,27315,John E. McGlade,CEO,28244,AIR PRODUCTS & CHEMICALS INC,Yes,"Chairman, Chief Executive Officer, President and Chairman of Executive Committee",11768.072,1000,0,0,0,371.675,9843.778,12120.068,1904.615,12120.068,37071.472,9698.764,0,0,,0,0,196,11642.61,109.459,13308.794,60,0,0,0,828.474,165.907,40452.015,8010.79,19.089,2485.006,11.62,1512.692,25828.023,32.063,137.354,25.754,105.741,0,3228.147,19.679,1,,,989.964,,,,,,,9,8.863,32.375,32.375,36.87,32.375,36.87,,,,,Cummings,Kurt,P.,MALE,"ELECTRONIC COMP, ACCESSORIES","Electronic Coil, Transformer, and Other Inductor M",Electronic Components,EX,AVX,334416,4520,3670,,,1209
1230,21308,Bradley D. Tilden,CEO,21571,ALASKA AIR GROUP INC,Yes,"Chairman, Chief Executive Officer, President, Chairman of Management Executive Committee, Chief Executive Officer of Horizon Air, Chief Executive Officer of Alaska Airlines and President of Alaska Airlines",2947.282,0,975.541,460.48,874.538,521.44,199.954,3468.722,436.769,3468.722,6616.75,0,15351.639,428.51,0.327,279.73,0.214,59.72,2115.945,63.6,2468.104,53,33.4,910.038,525.983,112.554,82.626,5298.644,2821.161,52.38,3130.229,143.3,8563.608,3386.48,0,0,0,0,0,0,0,1,,,751.02,,,,,,,-11.029,-9.749,8.225,8.225,14.803,8.225,14.803,,,,,Lawing,John,,MALE,"ELECTRONIC COMP, ACCESSORIES","Electronic Coil, Transformer, and Other Inductor M",Electronic Components,EX,AVX,334416,4520,3670,,,1230
