gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,act,ceq,che,ci,csho,dlc,dltt,dt,dvt,ebitda,emp,fincf,icapt,idit,intan,invt,ivncf,ivst,lct,oancf,ppegt,pstk,rect,revt,seq,tfva,txt,xint,xlr,xopr,costat,prcc_c,naics
001004,20150531,2014,INDL,C,D,STD,AAR CORP,USD,954.1000,845.1000,54.7000,-0.7000,35.4230,69.0000,85.0000,154,11.9000,83.7000,4.8500,-678.1000,930.1000,0.3000,172.4000,566.7000,689.2000,0.0000,412.0000,-43.0000,693.5000,0.0000,231.1000,1594.3000,845.1000,,-28.5000,26.5000,,1510.6000,A,27.7800,423860
001045,20141231,2014,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,12112.0000,2021.0000,8077.0000,355.0000,697.4750,1708.0000,16196.0000,17904,148.0000,6585.0000,113.3000,-315.0000,18217.0000,31.0000,6331.0000,1004.0000,-2911.0000,7083.0000,13435.0000,3080.0000,35343.0000,0.0000,1771.0000,42650.0000,2021.0000,7083.0000,330.0000,915.0000,8508.0000,36065.0000,A,53.6300,481111
001050,20141231,2014,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,142.9670,181.2240,19.3620,7.4280,26.2670,8.8870,103.5410,112.428,5.9370,35.6000,0.8530,18.2500,284.7650,,245.7110,47.7870,-37.8120,0.0000,75.3510,16.2630,34.1860,0.0000,58.3940,263.2170,181.2240,,3.1370,3.1380,,227.6170,A,15.5400,333413
001062,20141130,2014,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,,221.8000,10.1150,-27.7750,19.2900,0.0000,0.0000,0,0.7720,-1.4580,,,221.8000,0.0000,0.0000,0.0000,,5.1810,,,0.0000,0.0000,0.0990,2.2190,221.8000,218.1270,0.0000,0.0000,,3.6770,A,10.1100,523999
001062,20141130,2014,FS,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,,221.8000,,,,0.0000,0.0000,,0.7720,,,,221.8000,2.2190,0.0000,0.0000,,0.0000,,,0.0000,0.0000,,-7.0480,221.8000,,0.0000,0.0000,,,A,10.1100,523999
001072,20150331,2014,INDL,C,D,STD,AVX CORP,USD,1744.5520,2131.9630,843.5060,151.0800,168.1900,0.0000,0.0000,0,67.2510,254.9630,10.4000,-68.2580,2131.9630,4.5540,275.6380,535.9120,-204.1090,461.9010,266.3090,197.5890,1467.9370,0.0000,256.4960,1353.2280,2131.9630,9.9150,-7.2720,0.9780,,1098.2650,A,14.0000,334416
001075,20141231,2014,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,973.4350,4367.4930,7.6040,433.6080,110.5710,530.9700,3031.2150,,256.8030,1228.6000,6.3660,-178.8810,7550.3170,1.0100,,255.9860,-922.6680,0.0000,1559.1430,1099.6270,16965.4300,0.0000,395.1790,3491.6320,4367.4930,745.0000,220.7050,200.9500,,2263.0320,A,68.3100,2211
001076,20141231,2014,INDL,C,D,STD,AARON'S INC,USD,,1223.5210,24.8600,78.2070,72.4880,112.5970,493.4850,606.082,6.2190,1194.2340,12.4000,456.9440,1717.0060,2.9210,828.1410,13.2000,-635.5240,21.3110,,-48.9620,2211.1360,0.0000,231.4780,2725.2390,1223.5210,0.0000,43.4710,19.2150,,1531.0050,A,30.5700,532299
001078,20141231,2014,INDL,C,D,STD,ABBOTT LABORATORIES,USD,15261.0000,21526.0000,4460.0000,-757.0000,1508.0350,4437.0000,3408.0000,3463,1363.0000,4475.0000,77.0000,-2742.0000,25047.0000,77.0000,16265.0000,2643.0000,-202.0000,397.0000,10532.0000,3675.0000,12632.0000,0.0000,3586.0000,20247.0000,21526.0000,373.0000,797.0000,150.0000,,15772.0000,A,45.0200,325412
001084,20141231,2014,INDL,C,D,STD,WORLDS INC,USD,0.0280,-4.6040,0.0280,-0.9830,96.8520,1.1100,0.0000,0,0.0000,-0.8160,0.0010,0.1010,-4.6040,0.0000,0.0000,0.0000,0.0000,0.0000,4.6320,-0.0950,0.0000,0.0000,0.0000,0.0000,-4.6040,,0.0000,0.3590,0.2160,0.8160,A,0.1450,519130
